goos: darwin
goarch: arm64
pkg: github.com/anacrolix/btree/bench
cpu: Apple M4 Max
BenchmarkErigon/DeleteBySize/n=100000/google-16        	     134	   8928273 ns/op	 2760695 B/op	    9906 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/ajwerner-16     	 3441637	       346.4 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/ajwerner-16     	 3500736	       346.0 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/ajwerner-16     	 3504667	       342.4 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/ajwerner-16     	 3463870	       347.3 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/ajwerner-16     	 3502460	       342.9 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/ajwerner-16     	 3507150	       343.6 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/tidwall-16      	 1701186	       710.2 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/tidwall-16      	 1667068	       721.3 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/tidwall-16      	 1701306	       708.5 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/tidwall-16      	 1700372	       706.4 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/tidwall-16      	 1726558	       700.5 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/tidwall-16      	 1717377	       703.5 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/google-16       	 1696208	       709.6 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/google-16       	 1684516	       709.7 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/google-16       	 1653522	       721.4 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/google-16       	 1680800	       712.8 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/google-16       	 1651909	       722.7 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=100/google-16       	 1680332	       720.3 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/ajwerner-16    	  388550	      3093 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/ajwerner-16    	  390745	      3072 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/ajwerner-16    	  392358	      3070 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/ajwerner-16    	  388593	      3079 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/ajwerner-16    	  392190	      3089 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/ajwerner-16    	  392660	      3076 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/tidwall-16     	  174175	      6999 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/tidwall-16     	  171633	      7041 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/tidwall-16     	  173251	      7097 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/tidwall-16     	  170521	      7053 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/tidwall-16     	  170814	      7008 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/tidwall-16     	  167816	      7091 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/google-16      	  185652	      6397 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/google-16      	  188966	      6543 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/google-16      	  186469	      6577 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/google-16      	  188804	      6390 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/google-16      	  191013	      6413 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=1000/google-16      	  192286	      6490 ns/op	   25240 B/op	      13 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/ajwerner-16   	   40028	     30209 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/ajwerner-16   	   39656	     30243 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/ajwerner-16   	   39783	     30229 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/ajwerner-16   	   39751	     30109 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/ajwerner-16   	   39933	     30027 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/ajwerner-16   	   39686	     30301 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/tidwall-16    	   15304	     78340 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/tidwall-16    	   15247	     78849 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/tidwall-16    	   15344	     78086 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/tidwall-16    	   15163	     78374 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/tidwall-16    	   15384	     77558 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/tidwall-16    	   15274	     78129 ns/op	  357657 B/op	      20 allocs/op
